k1_name;k2_name;k1_blocks_per_grid;k2_blocks_per_grid;k1_threads_per_block;k2_threads_per_block;k1_registers;k2_registers;k1_shared_mem_B;k2_shared_mem_B;attempts_of_5;classification
P_E2;R_I1;2596;1026;258;258;30;45;4160;16;2;0
P_E2;P_H1;2596;75;258;25;30;35;4160;512;5;1
P_E2;S_M1;2596;67;258;258;30;32;4160;0;3;0
P_E2;P_F1;2596;130;258;258;30;23;4160;0;2;0
P_E2;P_G3;2596;188;258;37;30;24;4160;0;2;0
R_X1;S_O1;257;258;33;66;21;63;6144;512;5;1
R_X1;P_E8;257;2596;33;258;21;37;6144;4484;5;1
R_X1;R_X2;257;257;33;33;21;19;6144;5120;5;1
R_X1;R_D2;257;22;33;194;21;50;6144;8728;5;1
R_X1;P_D1;257;271;33;122;21;40;6144;0;5;1
R_X1;P_E2;257;2596;33;258;21;30;6144;4160;2;0
R_X1;R_X1;257;257;33;33;21;21;6144;6144;5;1
R_X1;P_I1;257;767;33;194;21;30;6144;0;0;0
R_X1;P_J1;257;35;33;37;21;28;6144;0;5;1
R_X1;R_H1;257;173;33;33;21;37;6144;3072;5;1
R_X1;R_I1;257;1026;33;258;21;45;6144;16;4;1
R_X1;P_H1;257;75;33;25;21;35;6144;512;5;1
R_X1;S_M1;257;67;33;258;21;32;6144;0;2;0
R_X1;P_F1;257;130;33;258;21;23;6144;0;1;0
R_X1;P_G3;257;188;33;37;21;24;6144;0;5;1
P_I1;S_O1;767;258;194;66;30;63;0;512;0;0
P_I1;P_E8;767;2596;194;258;30;37;0;4484;4;1
P_I1;R_X2;767;257;194;33;30;19;0;5120;2;0
P_I1;R_D2;767;22;194;194;30;50;0;8728;0;0
P_I1;P_D1;767;271;194;122;30;40;0;0;4;1
P_I1;P_E2;767;2596;194;258;30;30;0;4160;3;0
P_I1;R_X1;767;257;194;33;30;21;0;6144;0;0
P_I1;P_I1;767;767;194;194;30;30;0;0;4;1
P_I1;P_J1;767;35;194;37;30;28;0;0;1;0
P_I1;R_H1;767;173;194;33;30;37;0;3072;3;0
P_I1;R_I1;767;1026;194;258;30;45;0;16;1;0
P_I1;P_H1;767;75;194;25;30;35;0;512;2;0
P_I1;S_M1;767;67;194;258;30;32;0;0;2;0
P_I1;P_F1;767;130;194;258;30;23;0;0;0;0
P_I1;P_G3;767;188;194;37;30;24;0;0;0;0
P_J1;S_O1;35;258;37;66;28;63;0;512;4;1
P_J1;P_E8;35;2596;37;258;28;37;0;4484;4;1
P_J1;R_X2;35;257;37;33;28;19;0;5120;4;1
P_J1;R_D2;35;22;37;194;28;50;0;8728;4;1
P_J1;P_D1;35;271;37;122;28;40;0;0;4;1
P_J1;P_E2;35;2596;37;258;28;30;0;4160;3;0
P_J1;R_X1;35;257;37;33;28;21;0;6144;5;1
P_J1;P_I1;35;767;37;194;28;30;0;0;0;0
P_J1;P_J1;35;35;37;37;28;28;0;0;5;1
P_J1;R_H1;35;173;37;33;28;37;0;3072;5;1
P_J1;R_I1;35;1026;37;258;28;45;0;16;5;1
P_J1;P_H1;35;75;37;25;28;35;0;512;5;1
P_J1;S_M1;35;67;37;258;28;32;0;0;0;0
P_J1;P_F1;35;130;37;258;28;23;0;0;5;1
P_J1;P_G3;35;188;37;37;28;24;0;0;3;0
R_H1;S_O1;173;258;33;66;37;63;3072;512;5;1
R_H1;P_E8;173;2596;33;258;37;37;3072;4484;5;1
R_H1;R_X2;173;257;33;33;37;19;3072;5120;5;1
R_H1;R_D2;173;22;33;194;37;50;3072;8728;5;1
R_H1;P_D1;173;271;33;122;37;40;3072;0;5;1
R_H1;P_E2;173;2596;33;258;37;30;3072;4160;2;0
R_H1;R_X1;173;257;33;33;37;21;3072;6144;5;1
R_H1;P_I1;173;767;33;194;37;30;3072;0;5;1
R_H1;P_J1;173;35;33;37;37;28;3072;0;4;1
R_H1;R_H1;173;173;33;33;37;37;3072;3072;4;1
R_H1;R_I1;173;1026;33;258;37;45;3072;16;4;1
R_H1;P_H1;173;75;33;25;37;35;3072;512;5;1
R_H1;S_M1;173;67;33;258;37;32;3072;0;1;0
R_H1;P_F1;173;130;33;258;37;23;3072;0;5;1
R_H1;P_G3;173;188;33;37;37;24;3072;0;5;1
R_I1;S_O1;1026;258;258;66;45;63;16;512;5;1
R_I1;P_E8;1026;2596;258;258;45;37;16;4484;4;1
R_I1;R_X2;1026;257;258;33;45;19;16;5120;4;1
R_I1;R_D2;1026;22;258;194;45;50;16;8728;4;1
R_I1;P_D1;1026;271;258;122;45;40;16;0;5;1
R_I1;P_E2;1026;2596;258;258;45;30;16;4160;4;1
R_I1;R_X1;1026;257;258;33;45;21;16;6144;3;0
R_I1;P_I1;1026;767;258;194;45;30;16;0;1;0
R_I1;P_J1;1026;35;258;37;45;28;16;0;5;1
R_I1;R_H1;1026;173;258;33;45;37;16;3072;5;1
R_I1;R_I1;1026;1026;258;258;45;45;16;16;5;1
R_I1;P_H1;1026;75;258;25;45;35;16;512;4;1
R_I1;S_M1;1026;67;258;258;45;32;16;0;1;0
R_I1;P_F1;1026;130;258;258;45;23;16;0;5;1
R_I1;P_G3;1026;188;258;37;45;24;16;0;4;1
P_H1;S_O1;75;258;25;66;35;63;512;512;5;1
P_H1;P_E8;75;2596;25;258;35;37;512;4484;5;1
P_H1;R_X2;75;257;25;33;35;19;512;5120;5;1
P_H1;R_D2;75;22;25;194;35;50;512;8728;4;1
P_H1;P_D1;75;271;25;122;35;40;512;0;5;1
P_H1;P_E2;75;2596;25;258;35;30;512;4160;3;0
P_H1;R_X1;75;257;25;33;35;21;512;6144;5;1
P_H1;P_I1;75;767;25;194;35;30;512;0;5;1
P_H1;P_J1;75;35;25;37;35;28;512;0;5;1
P_H1;R_H1;75;173;25;33;35;37;512;3072;4;1
P_H1;R_I1;75;1026;25;258;35;45;512;16;5;1
P_H1;P_H1;75;75;25;25;35;35;512;512;4;1
P_H1;S_M1;75;67;25;258;35;32;512;0;2;0
P_H1;P_F1;75;130;25;258;35;23;512;0;5;1
P_H1;P_G3;75;188;25;37;35;24;512;0;4;1
S_M1;S_O1;67;258;258;66;32;63;0;512;1;0
S_M1;P_E8;67;2596;258;258;32;37;0;4484;4;1
S_M1;R_X2;67;257;258;33;32;19;0;5120;0;0
S_M1;R_D2;67;22;258;194;32;50;0;8728;0;0
S_M1;P_D1;67;271;258;122;32;40;0;0;1;0
S_M1;P_E2;67;2596;258;258;32;30;0;4160;2;0
S_M1;R_X1;67;257;258;33;32;21;0;6144;0;0
S_M1;P_I1;67;767;258;194;32;30;0;0;0;0
S_M1;P_J1;67;35;258;37;32;28;0;0;0;0
S_M1;R_H1;67;173;258;33;32;37;0;3072;1;0
S_M1;R_I1;67;1026;258;258;32;45;0;16;0;0
S_M1;P_H1;67;75;258;25;32;35;0;512;2;0
S_M1;S_M1;67;67;258;258;32;32;0;0;2;0
S_M1;P_F1;67;130;258;258;32;23;0;0;0;0
S_M1;P_G3;67;188;258;37;32;24;0;0;0;0
P_F1;S_O1;130;258;258;66;23;63;0;512;5;1
P_F1;P_E8;130;2596;258;258;23;37;0;4484;4;1
P_F1;R_D2;130;22;258;194;23;50;0;8728;1;0
P_F1;P_D1;130;271;258;122;23;40;0;0;4;1
P_F1;P_E2;130;2596;258;258;23;30;0;4160;4;1
P_F1;R_X1;130;257;258;33;23;21;0;6144;3;0
P_F1;P_I1;130;767;258;194;23;30;0;0;1;0
P_F1;P_J1;130;35;258;37;23;28;0;0;5;1
P_F1;R_H1;130;173;258;33;23;37;0;3072;4;1
P_F1;R_I1;130;1026;258;258;23;45;0;16;4;1
P_F1;P_H1;130;75;258;25;23;35;0;512;4;1
P_F1;S_M1;130;67;258;258;23;32;0;0;1;0
P_F1;P_F1;130;130;258;258;23;23;0;0;5;1
P_F1;P_G3;130;188;258;37;23;24;0;0;0;0
P_G3;S_O1;188;258;37;66;24;63;0;512;5;1
P_G3;P_E8;188;2596;37;258;24;37;0;4484;5;1
P_G3;R_X2;188;257;37;33;24;19;0;5120;4;1
P_G3;R_D2;188;22;37;194;24;50;0;8728;2;0
P_G3;P_D1;188;271;37;122;24;40;0;0;5;1
P_G3;P_E2;188;2596;37;258;24;30;0;4160;1;0
P_G3;R_X1;188;257;37;33;24;21;0;6144;5;1
P_G3;P_I1;188;767;37;194;24;30;0;0;0;0
P_G3;P_J1;188;35;37;37;24;28;0;0;5;1
P_G3;R_H1;188;173;37;33;24;37;0;3072;4;1
P_G3;R_I1;188;1026;37;258;24;45;0;16;5;1
P_G3;P_H1;188;75;37;25;24;35;0;512;4;1
P_G3;S_M1;188;67;37;258;24;32;0;0;0;0
P_G3;P_F1;188;130;37;258;24;23;0;0;1;0
P_G3;P_G3;188;188;37;37;24;24;0;0;1;0
S_O1;S_J1;258;66;66;258;63;16;512;0;3;0
S_O1;P_E4;258;16387;66;514;63;8;512;16;0;0
S_O1;P_C4;258;67;66;500;63;17;512;0;5;1
S_O1;P_E6;258;5190;66;514;63;9;512;0;5;1
S_O1;R_J4;258;125;66;34;63;13;512;4096;5;1
S_O1;R_A1;258;6002;66;258;63;28;512;0;2;0
S_O1;S_J6;258;66;66;258;63;12;512;16;2;0
S_O1;S_I1;258;66;66;258;63;12;512;0;4;1
S_O1;R_J7;258;125;66;34;63;15;512;4096;5;1
S_O1;S_I2;258;66;66;258;63;14;512;0;0;0
S_O1;S_L1;258;258;66;130;63;28;512;512;0;0
S_O1;R_A2;258;10002;66;258;63;27;512;0;1;0
S_O1;R_B2;258;4098;66;33;63;20;512;0;5;1
S_O1;P_C1;258;66;66;514;63;16;512;4096;5;1
S_O1;S_K5;258;514;66;258;63;16;512;4224;4;1
P_E8;S_J1;2596;66;258;258;37;16;4484;0;5;1
P_E8;P_E4;2596;16387;258;514;37;8;4484;16;1;0
P_E8;P_C4;2596;67;258;500;37;17;4484;0;5;1
P_E8;P_E6;2596;5190;258;514;37;9;4484;0;5;1
P_E8;R_J4;2596;125;258;34;37;13;4484;4096;5;1
P_E8;R_A1;2596;6002;258;258;37;28;4484;0;5;1
P_E8;S_J6;2596;66;258;258;37;12;4484;16;5;1
P_E8;S_I1;2596;66;258;258;37;12;4484;0;5;1
P_E8;R_J7;2596;125;258;34;37;15;4484;4096;5;1
P_E8;S_I2;2596;66;258;258;37;14;4484;0;5;1
P_E8;S_L1;2596;258;258;130;37;28;4484;512;5;1
P_E8;R_A2;2596;10002;258;258;37;27;4484;0;4;1
P_E8;R_B2;2596;4098;258;33;37;20;4484;0;5;1
P_E8;P_C1;2596;66;258;514;37;16;4484;4096;5;1
P_E8;S_K5;2596;514;258;258;37;16;4484;4224;5;1
R_X2;S_J1;257;66;33;258;19;16;5120;0;0;0
R_X2;P_E4;257;16387;33;514;19;8;5120;16;0;0
R_X2;P_C4;257;67;33;500;19;17;5120;0;5;1
R_X2;P_E6;257;5190;33;514;19;9;5120;0;5;1
R_X2;R_J4;257;125;33;34;19;13;5120;4096;5;1
R_X2;R_A1;257;6002;33;258;19;28;5120;0;2;0
R_X2;S_J6;257;66;33;258;19;12;5120;16;5;1
R_X2;S_I1;257;66;33;258;19;12;5120;0;1;0
R_X2;R_J7;257;125;33;34;19;15;5120;4096;5;1
R_X2;S_I2;257;66;33;258;19;14;5120;0;0;0
R_X2;S_L1;257;258;33;130;19;28;5120;512;0;0
R_X2;R_A2;257;10002;33;258;19;27;5120;0;0;0
R_X2;R_B2;257;4098;33;33;19;20;5120;0;5;1
R_X2;P_C1;257;66;33;514;19;16;5120;4096;0;0
R_X2;S_K5;257;514;33;258;19;16;5120;4224;0;0
R_D2;S_J1;22;66;194;258;50;16;8728;0;0;0
R_D2;P_E4;22;16387;194;514;50;8;8728;16;0;0
R_D2;P_C4;22;67;194;500;50;17;8728;0;0;0
R_D2;P_E6;22;5190;194;514;50;9;8728;0;5;1
R_D2;R_J4;22;125;194;34;50;13;8728;4096;5;1
R_D2;R_A1;22;6002;194;258;50;28;8728;0;3;0
R_D2;S_J6;22;66;194;258;50;12;8728;16;2;0
R_D2;S_I1;22;66;194;258;50;12;8728;0;0;0
R_D2;R_J7;22;125;194;34;50;15;8728;4096;4;1
R_D2;S_I2;22;66;194;258;50;14;8728;0;0;0
R_D2;S_L1;22;258;194;130;50;28;8728;512;1;0
R_D2;R_A2;22;10002;194;258;50;27;8728;0;1;0
R_D2;R_B2;22;4098;194;33;50;20;8728;0;4;1
R_D2;P_C1;22;66;194;514;50;16;8728;4096;0;0
R_D2;S_K5;22;514;194;258;50;16;8728;4224;2;0
P_D1;S_J1;271;66;122;258;40;16;0;0;5;1
P_D1;P_E4;271;16387;122;514;40;8;0;16;0;0
P_D1;P_C4;271;67;122;500;40;17;0;0;4;1
P_D1;P_E6;271;5190;122;514;40;9;0;0;5;1
P_D1;R_J4;271;125;122;34;40;13;0;4096;5;1
P_D1;R_A1;271;6002;122;258;40;28;0;0;5;1
P_D1;S_J6;271;66;122;258;40;12;0;16;3;0
P_D1;S_I1;271;66;122;258;40;12;0;0;5;1
P_D1;R_J7;271;125;122;34;40;15;0;4096;5;1
P_D1;S_I2;271;66;122;258;40;14;0;0;5;1
P_D1;S_L1;271;258;122;130;40;28;0;512;5;1
P_D1;R_A2;271;10002;122;258;40;27;0;0;5;1
P_D1;R_B2;271;4098;122;33;40;20;0;0;4;1
P_D1;P_C1;271;66;122;514;40;16;0;4096;4;1
P_D1;S_K5;271;514;122;258;40;16;0;4224;4;1
P_E2;S_J1;2596;66;258;258;30;16;4160;0;2;0
P_E2;P_E4;2596;16387;258;514;30;8;4160;16;2;0
P_E2;P_C4;2596;67;258;500;30;17;4160;0;0;0
P_E2;P_E6;2596;5190;258;514;30;9;4160;0;4;1
P_E2;R_J4;2596;125;258;34;30;13;4160;4096;3;0
P_E2;R_A1;2596;6002;258;258;30;28;4160;0;4;1
P_E2;S_J6;2596;66;258;258;30;12;4160;16;4;1
P_E2;S_I1;2596;66;258;258;30;12;4160;0;3;0
P_E2;R_J7;2596;125;258;34;30;15;4160;4096;4;1
P_E2;S_I2;2596;66;258;258;30;14;4160;0;2;0
P_E2;S_L1;2596;258;258;130;30;28;4160;512;2;0
P_E2;R_A2;2596;10002;258;258;30;27;4160;0;3;0
P_E2;R_B2;2596;4098;258;33;30;20;4160;0;4;1
P_E2;P_C1;2596;66;258;514;30;16;4160;4096;2;0
P_E2;S_K5;2596;514;258;258;30;16;4160;4224;3;0
R_X1;S_J1;257;66;33;258;21;16;6144;0;5;1
R_X1;P_E4;257;16387;33;514;21;8;6144;16;0;0
R_X1;P_C4;257;67;33;500;21;17;6144;0;4;1
R_X1;P_E6;257;5190;33;514;21;9;6144;0;5;1
R_X1;R_J4;257;125;33;34;21;13;6144;4096;4;1
R_X1;R_A1;257;6002;33;258;21;28;6144;0;2;0
R_X1;S_J6;257;66;33;258;21;12;6144;16;4;1
R_X1;S_I1;257;66;33;258;21;12;6144;0;5;1
R_X1;R_J7;257;125;33;34;21;15;6144;4096;5;1
R_X1;S_I2;257;66;33;258;21;14;6144;0;2;0
R_X1;S_L1;257;258;33;130;21;28;6144;512;4;1
R_X1;R_A2;257;10002;33;258;21;27;6144;0;0;0
R_X1;R_B2;257;4098;33;33;21;20;6144;0;5;1
R_X1;P_C1;257;66;33;514;21;16;6144;4096;5;1
R_X1;S_K5;257;514;33;258;21;16;6144;4224;5;1
P_I1;S_J1;767;66;194;258;30;16;0;0;0;0
P_I1;P_E4;767;16387;194;514;30;8;0;16;0;0
P_I1;P_C4;767;67;194;500;30;17;0;0;0;0
P_I1;P_E6;767;5190;194;514;30;9;0;0;5;1
P_I1;R_J4;767;125;194;34;30;13;0;4096;4;1
P_I1;R_A1;767;6002;194;258;30;28;0;0;5;1
P_I1;S_J6;767;66;194;258;30;12;0;16;1;0
P_I1;S_I1;767;66;194;258;30;12;0;0;0;0
P_I1;R_J7;767;125;194;34;30;15;0;4096;3;0
P_I1;S_I2;767;66;194;258;30;14;0;0;0;0
P_I1;S_L1;767;258;194;130;30;28;0;512;0;0
P_I1;R_A2;767;10002;194;258;30;27;0;0;5;1
P_I1;R_B2;767;4098;194;33;30;20;0;0;2;0
P_I1;P_C1;767;66;194;514;30;16;0;4096;1;0
P_I1;S_K5;767;514;194;258;30;16;0;4224;1;0
P_J1;S_J1;35;66;37;258;28;16;0;0;5;1
P_J1;P_E4;35;16387;37;514;28;8;0;16;0;0
P_J1;P_C4;35;67;37;500;28;17;0;0;1;0
P_J1;P_E6;35;5190;37;514;28;9;0;0;5;1
P_J1;R_J4;35;125;37;34;28;13;0;4096;5;1
P_J1;R_A1;35;6002;37;258;28;28;0;0;5;1
P_J1;S_J6;35;66;37;258;28;12;0;16;5;1
P_J1;S_I1;35;66;37;258;28;12;0;0;4;1
P_J1;R_J7;35;125;37;34;28;15;0;4096;5;1
P_J1;S_I2;35;66;37;258;28;14;0;0;0;0
P_J1;S_L1;35;258;37;130;28;28;0;512;3;0
P_J1;R_A2;35;10002;37;258;28;27;0;0;1;0
P_J1;R_B2;35;4098;37;33;28;20;0;0;5;1
P_J1;P_C1;35;66;37;514;28;16;0;4096;1;0
P_J1;S_K5;35;514;37;258;28;16;0;4224;4;1
R_H1;S_J1;173;66;33;258;37;16;3072;0;5;1
R_H1;P_E4;173;16387;33;514;37;8;3072;16;0;0
R_H1;P_C4;173;67;33;500;37;17;3072;0;5;1
R_H1;P_E6;173;5190;33;514;37;9;3072;0;5;1
R_H1;R_J4;173;125;33;34;37;13;3072;4096;5;1
R_H1;R_A1;173;6002;33;258;37;28;3072;0;5;1
R_H1;S_J6;173;66;33;258;37;12;3072;16;5;1
R_H1;S_I1;173;66;33;258;37;12;3072;0;3;0
R_H1;R_J7;173;125;33;34;37;15;3072;4096;5;1
R_H1;S_I2;173;66;33;258;37;14;3072;0;5;1
R_H1;S_L1;173;258;33;130;37;28;3072;512;5;1
R_H1;R_A2;173;10002;33;258;37;27;3072;0;5;1
R_H1;R_B2;173;4098;33;33;37;20;3072;0;5;1
R_H1;P_C1;173;66;33;514;37;16;3072;4096;5;1
R_H1;S_K5;173;514;33;258;37;16;3072;4224;5;1
R_I1;S_J1;1026;66;258;258;45;16;16;0;4;1
R_I1;P_E4;1026;16387;258;514;45;8;16;16;0;0
R_I1;P_C4;1026;67;258;500;45;17;16;0;2;0
R_I1;P_E6;1026;5190;258;514;45;9;16;0;5;1
R_I1;R_J4;1026;125;258;34;45;13;16;4096;5;1
R_I1;R_A1;1026;6002;258;258;45;28;16;0;3;0
R_I1;S_J6;1026;66;258;258;45;12;16;16;5;1
R_I1;S_I1;1026;66;258;258;45;12;16;0;3;0
R_I1;R_J7;1026;125;258;34;45;15;16;4096;5;1
R_I1;S_I2;1026;66;258;258;45;14;16;0;0;0
R_I1;S_L1;1026;258;258;130;45;28;16;512;0;0
R_I1;R_A2;1026;10002;258;258;45;27;16;0;3;0
R_I1;R_B2;1026;4098;258;33;45;20;16;0;5;1
R_I1;P_C1;1026;66;258;514;45;16;16;4096;2;0
R_I1;S_K5;1026;514;258;258;45;16;16;4224;4;1
P_H1;S_J1;75;66;25;258;35;16;512;0;5;1
P_H1;P_E4;75;16387;25;514;35;8;512;16;0;0
P_H1;P_C4;75;67;25;500;35;17;512;0;5;1
P_H1;P_E6;75;5190;25;514;35;9;512;0;5;1
P_H1;R_J4;75;125;25;34;35;13;512;4096;5;1
P_H1;R_A1;75;6002;25;258;35;28;512;0;5;1
P_H1;S_J6;75;66;25;258;35;12;512;16;5;1
P_H1;S_I1;75;66;25;258;35;12;512;0;4;1
P_H1;R_J7;75;125;25;34;35;15;512;4096;5;1
P_H1;S_I2;75;66;25;258;35;14;512;0;5;1
P_H1;S_L1;75;258;25;130;35;28;512;512;4;1
P_H1;R_A2;75;10002;25;258;35;27;512;0;5;1
P_H1;R_B2;75;4098;25;33;35;20;512;0;5;1
P_H1;P_C1;75;66;25;514;35;16;512;4096;5;1
P_H1;S_K5;75;514;25;258;35;16;512;4224;4;1
S_M1;S_J1;67;66;258;258;32;16;0;0;0;0
S_M1;P_E4;67;16387;258;514;32;8;0;16;0;0
S_M1;P_C4;67;67;258;500;32;17;0;0;0;0
S_M1;P_E6;67;5190;258;514;32;9;0;0;4;1
S_M1;R_J4;67;125;258;34;32;13;0;4096;0;0
S_M1;R_A1;67;6002;258;258;32;28;0;0;3;0
S_M1;S_J6;67;66;258;258;32;12;0;16;0;0
S_M1;S_I1;67;66;258;258;32;12;0;0;0;0
S_M1;R_J7;67;125;258;34;32;15;0;4096;0;0
S_M1;S_I2;67;66;258;258;32;14;0;0;0;0
S_M1;S_L1;67;258;258;130;32;28;0;512;0;0
S_M1;R_A2;67;10002;258;258;32;27;0;0;0;0
S_M1;R_B2;67;4098;258;33;32;20;0;0;0;0
S_M1;P_C1;67;66;258;514;32;16;0;4096;0;0
S_M1;S_K5;67;514;258;258;32;16;0;4224;0;0
P_F1;S_J1;130;66;258;258;23;16;0;0;0;0
P_F1;P_E4;130;16387;258;514;23;8;0;16;0;0
P_F1;P_C4;130;67;258;500;23;17;0;0;0;0
P_F1;P_E6;130;5190;258;514;23;9;0;0;4;1
P_F1;R_J4;130;125;258;34;23;13;0;4096;5;1
P_F1;R_A1;130;6002;258;258;23;28;0;0;3;0
P_F1;S_J6;130;66;258;258;23;12;0;16;2;0
P_F1;S_I1;130;66;258;258;23;12;0;0;0;0
P_F1;R_J7;130;125;258;34;23;15;0;4096;5;1
P_F1;S_I2;130;66;258;258;23;14;0;0;0;0
